name,lat,lng,hour,day,available_spots,total_capacity
India Gate Parking,28.612,77.229,9,4,57,100
India Gate Parking,28.612,77.229,21,2,73,100
Select CITYWALK,28.528,77.218,17,3,187,350
Guwahati Railway Station,26.181,91.75,18,0,239,300
City Centre Mall,26.152,91.776,3,5,6,120
Chhatrapati Shivaji Terminus,18.94,72.835,12,2,89,150
Connaught Place,28.631,77.219,4,1,89,200
Connaught Place,28.631,77.219,14,1,151,200
Guwahati Railway Station,26.181,91.75,12,2,206,300
Phoenix Marketcity,19.088,72.882,9,5,313,400
Select CITYWALK,28.528,77.218,16,2,260,350
India Gate Parking,28.612,77.229,4,4,66,100
Guwahati Railway Station,26.181,91.75,10,2,207,300
Connaught Place,28.631,77.219,15,2,82,200
UB City Mall,12.971,77.595,21,4,117,200
Connaught Place,28.631,77.219,17,0,100,200
India Gate Parking,28.612,77.229,13,6,75,100
Gateway of India Parking,18.922,72.834,10,2,41,80
M Chinnaswamy Stadium,12.978,77.599,4,0,437,600
UB City Mall,12.971,77.595,3,4,113,200
City Centre Mall,26.152,91.776,4,5,14,120
Select CITYWALK,28.528,77.218,8,2,214,350
Gateway of India Parking,18.922,72.834,6,5,45,80
UB City Mall,12.971,77.595,22,3,89,200
Chhatrapati Shivaji Terminus,18.94,72.835,19,1,64,150
Guwahati Railway Station,26.181,91.75,19,5,216,300
Select CITYWALK,28.528,77.218,2,2,222,350
Guwahati Railway Station,26.181,91.75,4,3,169,300
Gateway of India Parking,18.922,72.834,8,3,61,80
Phoenix Marketcity,19.088,72.882,8,2,174,400
Chhatrapati Shivaji Terminus,18.94,72.835,2,3,73,150
M Chinnaswamy Stadium,12.978,77.599,22,3,416,600
Indira Gandhi Athletic Stadium,26.111,91.761,5,0,289,500
Phoenix Marketcity,19.088,72.882,2,0,283,400
Gateway of India Parking,18.922,72.834,10,1,40,80
Chhatrapati Shivaji Terminus,18.94,72.835,17,2,96,150
M Chinnaswamy Stadium,12.978,77.599,0,3,423,600
Phoenix Marketcity,19.088,72.882,23,6,253,400
Select CITYWALK,28.528,77.218,8,3,274,350
Chhatrapati Shivaji Terminus,18.94,72.835,16,1,78,150
Phoenix Marketcity,19.088,72.882,20,4,200,400
Connaught Place,28.631,77.219,12,4,155,200
M Chinnaswamy Stadium,12.978,77.599,4,1,427,600
Gateway of India Parking,18.922,72.834,16,0,48,80
Gateway of India Parking,18.922,72.834,7,1,62,80
Connaught Place,28.631,77.219,11,4,86,200
Guwahati Railway Station,26.181,91.75,8,4,211,300
Indira Gandhi Athletic Stadium,26.111,91.761,2,1,345,500
Guwahati Railway Station,26.181,91.75,2,6,200,300
City Centre Mall,26.152,91.776,5,4,86,120
Guwahati Railway Station,26.181,91.75,8,2,218,300
UB City Mall,12.971,77.595,8,1,131,200
India Gate Parking,28.612,77.229,11,3,75,100
Gateway of India Parking,18.922,72.834,13,5,52,80
Indira Gandhi Athletic Stadium,26.111,91.761,22,3,358,500
M Chinnaswamy Stadium,12.978,77.599,10,1,327,600
Gateway of India Parking,18.922,72.834,23,3,36,80
Indira Gandhi Athletic Stadium,26.111,91.761,18,4,224,500
Gateway of India Parking,18.922,72.834,18,1,55,80
Select CITYWALK,28.528,77.218,10,2,265,350
Gateway of India Parking,18.922,72.834,4,2,39,80
City Centre Mall,26.152,91.776,10,5,20,120
UB City Mall,12.971,77.595,15,6,35,200
Chhatrapati Shivaji Terminus,18.94,72.835,17,6,118,150
Phoenix Marketcity,19.088,72.882,12,6,177,400
Connaught Place,28.631,77.219,15,4,96,200
India Gate Parking,28.612,77.229,15,0,65,100
Select CITYWALK,28.528,77.218,10,1,266,350
Connaught Place,28.631,77.219,23,5,92,200
Guwahati Railway Station,26.181,91.75,2,6,170,300
Guwahati Railway Station,26.181,91.75,0,0,150,300
Guwahati Railway Station,26.181,91.75,21,2,163,300
Indira Gandhi Athletic Stadium,26.111,91.761,15,2,275,500
Chhatrapati Shivaji Terminus,18.94,72.835,15,6,93,150
City Centre Mall,26.152,91.776,15,2,74,120
UB City Mall,12.971,77.595,14,1,122,200
M Chinnaswamy Stadium,12.978,77.599,21,6,448,600
M Chinnaswamy Stadium,12.978,77.599,10,1,334,600
Gateway of India Parking,18.922,72.834,21,5,38,80
Chhatrapati Shivaji Terminus,18.94,72.835,11,2,117,150
Select CITYWALK,28.528,77.218,2,6,210,350
Gateway of India Parking,18.922,72.834,7,0,50,80
Guwahati Railway Station,26.181,91.75,4,5,139,300
M Chinnaswamy Stadium,12.978,77.599,6,1,387,600
UB City Mall,12.971,77.595,11,5,27,200
UB City Mall,12.971,77.595,16,2,82,200
UB City Mall,12.971,77.595,0,1,109,200
Chhatrapati Shivaji Terminus,18.94,72.835,9,1,98,150
Guwahati Railway Station,26.181,91.75,15,1,156,300
Indira Gandhi Athletic Stadium,26.111,91.761,17,0,275,500
Indira Gandhi Athletic Stadium,26.111,91.761,11,1,267,500
India Gate Parking,28.612,77.229,10,3,42,100
City Centre Mall,26.152,91.776,15,2,68,120
Guwahati Railway Station,26.181,91.75,6,2,217,300
Indira Gandhi Athletic Stadium,26.111,91.761,7,2,339,500
India Gate Parking,28.612,77.229,5,3,76,100
Indira Gandhi Athletic Stadium,26.111,91.761,2,1,396,500
Chhatrapati Shivaji Terminus,18.94,72.835,16,3,79,150
Gateway of India Parking,18.922,72.834,14,0,48,80
Chhatrapati Shivaji Terminus,18.94,72.835,21,3,101,150
Phoenix Marketcity,19.088,72.882,15,6,288,400
Guwahati Railway Station,26.181,91.75,8,4,164,300
Phoenix Marketcity,19.088,72.882,15,0,316,400
Gateway of India Parking,18.922,72.834,20,2,39,80
Gateway of India Parking,18.922,72.834,20,6,40,80
Gateway of India Parking,18.922,72.834,23,3,53,80
Guwahati Railway Station,26.181,91.75,6,0,200,300
Select CITYWALK,28.528,77.218,15,4,167,350
Gateway of India Parking,18.922,72.834,23,0,49,80
M Chinnaswamy Stadium,12.978,77.599,17,4,385,600
Indira Gandhi Athletic Stadium,26.111,91.761,18,6,349,500
Phoenix Marketcity,19.088,72.882,22,2,312,400
India Gate Parking,28.612,77.229,15,5,50,100
Gateway of India Parking,18.922,72.834,12,3,48,80
Indira Gandhi Athletic Stadium,26.111,91.761,15,5,321,500
Connaught Place,28.631,77.219,3,1,113,200
Phoenix Marketcity,19.088,72.882,17,5,247,400
Select CITYWALK,28.528,77.218,16,2,193,350
India Gate Parking,28.612,77.229,5,5,66,100
City Centre Mall,26.152,91.776,23,0,48,120
India Gate Parking,28.612,77.229,12,2,41,100
UB City Mall,12.971,77.595,4,0,131,200
Connaught Place,28.631,77.219,3,6,107,200
India Gate Parking,28.612,77.229,9,2,72,100
City Centre Mall,26.152,91.776,16,3,90,120
Phoenix Marketcity,19.088,72.882,19,6,236,400
City Centre Mall,26.152,91.776,15,3,59,120
Guwahati Railway Station,26.181,91.75,4,1,200,300
India Gate Parking,28.612,77.229,19,1,55,100
Guwahati Railway Station,26.181,91.75,21,6,143,300
Phoenix Marketcity,19.088,72.882,13,2,268,400
Chhatrapati Shivaji Terminus,18.94,72.835,18,2,95,150
India Gate Parking,28.612,77.229,21,6,68,100
India Gate Parking,28.612,77.229,15,2,65,100
Connaught Place,28.631,77.219,15,1,123,200
Phoenix Marketcity,19.088,72.882,3,3,188,400
City Centre Mall,26.152,91.776,9,4,95,120
Phoenix Marketcity,19.088,72.882,19,4,235,400
M Chinnaswamy Stadium,12.978,77.599,12,5,340,600
India Gate Parking,28.612,77.229,10,5,67,100
City Centre Mall,26.152,91.776,13,5,11,120
Guwahati Railway Station,26.181,91.75,15,3,144,300
City Centre Mall,26.152,91.776,10,5,15,120
Chhatrapati Shivaji Terminus,18.94,72.835,14,6,63,150
City Centre Mall,26.152,91.776,12,5,22,120
Select CITYWALK,28.528,77.218,6,6,277,350
Chhatrapati Shivaji Terminus,18.94,72.835,6,1,71,150
UB City Mall,12.971,77.595,10,4,94,200
UB City Mall,12.971,77.595,14,5,19,200
Chhatrapati Shivaji Terminus,18.94,72.835,8,4,98,150
M Chinnaswamy Stadium,12.978,77.599,5,2,268,600
Gateway of India Parking,18.922,72.834,11,1,52,80
M Chinnaswamy Stadium,12.978,77.599,13,3,318,600
Chhatrapati Shivaji Terminus,18.94,72.835,2,1,98,150
UB City Mall,12.971,77.595,0,2,128,200
UB City Mall,12.971,77.595,3,2,124,200
Gateway of India Parking,18.922,72.834,20,4,50,80
India Gate Parking,28.612,77.229,12,2,76,100
UB City Mall,12.971,77.595,19,0,128,200
Indira Gandhi Athletic Stadium,26.111,91.761,14,1,211,500
Connaught Place,28.631,77.219,17,0,107,200
City Centre Mall,26.152,91.776,20,2,63,120
Chhatrapati Shivaji Terminus,18.94,72.835,16,4,109,150
Gateway of India Parking,18.922,72.834,8,2,46,80
Chhatrapati Shivaji Terminus,18.94,72.835,0,0,66,150
Select CITYWALK,28.528,77.218,3,4,199,350
UB City Mall,12.971,77.595,17,1,147,200
Gateway of India Parking,18.922,72.834,2,5,37,80
Gateway of India Parking,18.922,72.834,10,1,41,80
Indira Gandhi Athletic Stadium,26.111,91.761,19,4,392,500
City Centre Mall,26.152,91.776,11,4,48,120
Guwahati Railway Station,26.181,91.75,23,5,222,300
Chhatrapati Shivaji Terminus,18.94,72.835,12,2,109,150
India Gate Parking,28.612,77.229,22,1,74,100
Gateway of India Parking,18.922,72.834,19,5,54,80
M Chinnaswamy Stadium,12.978,77.599,20,2,383,600
M Chinnaswamy Stadium,12.978,77.599,9,5,388,600
City Centre Mall,26.152,91.776,5,4,61,120
Indira Gandhi Athletic Stadium,26.111,91.761,6,5,288,500
Phoenix Marketcity,19.088,72.882,20,4,251,400
Chhatrapati Shivaji Terminus,18.94,72.835,19,6,91,150
City Centre Mall,26.152,91.776,10,6,16,120
Select CITYWALK,28.528,77.218,0,0,161,350
India Gate Parking,28.612,77.229,2,4,74,100
M Chinnaswamy Stadium,12.978,77.599,12,3,297,600
Indira Gandhi Athletic Stadium,26.111,91.761,0,4,327,500
Guwahati Railway Station,26.181,91.75,11,5,134,300
Select CITYWALK,28.528,77.218,6,2,163,350
City Centre Mall,26.152,91.776,14,2,59,120
India Gate Parking,28.612,77.229,13,4,52,100
Indira Gandhi Athletic Stadium,26.111,91.761,11,1,388,500
UB City Mall,12.971,77.595,6,3,113,200
Connaught Place,28.631,77.219,22,6,88,200
Phoenix Marketcity,19.088,72.882,5,2,308,400
Select CITYWALK,28.528,77.218,20,2,186,350
Phoenix Marketcity,19.088,72.882,7,5,233,400
Gateway of India Parking,18.922,72.834,4,2,40,80
City Centre Mall,26.152,91.776,15,3,83,120
Connaught Place,28.631,77.219,14,5,85,200
Indira Gandhi Athletic Stadium,26.111,91.761,16,3,304,500
Gateway of India Parking,18.922,72.834,12,2,39,80
Chhatrapati Shivaji Terminus,18.94,72.835,10,5,92,150
Connaught Place,28.631,77.219,11,3,90,200
Gateway of India Parking,18.922,72.834,12,1,62,80
Guwahati Railway Station,26.181,91.75,10,4,231,300
India Gate Parking,28.612,77.229,6,6,59,100
Guwahati Railway Station,26.181,91.75,11,5,170,300
Chhatrapati Shivaji Terminus,18.94,72.835,22,0,88,150
Guwahati Railway Station,26.181,91.75,18,4,211,300
Select CITYWALK,28.528,77.218,2,5,178,350
UB City Mall,12.971,77.595,8,4,131,200
Phoenix Marketcity,19.088,72.882,0,5,236,400
Gateway of India Parking,18.922,72.834,19,3,38,80
M Chinnaswamy Stadium,12.978,77.599,23,2,339,600
Phoenix Marketcity,19.088,72.882,5,1,313,400
Chhatrapati Shivaji Terminus,18.94,72.835,17,0,85,150
Phoenix Marketcity,19.088,72.882,1,0,221,400
UB City Mall,12.971,77.595,3,1,129,200
India Gate Parking,28.612,77.229,13,0,63,100
Connaught Place,28.631,77.219,12,4,99,200
Guwahati Railway Station,26.181,91.75,11,5,235,300
Guwahati Railway Station,26.181,91.75,14,2,236,300
Chhatrapati Shivaji Terminus,18.94,72.835,21,5,86,150
M Chinnaswamy Stadium,12.978,77.599,13,5,394,600
Phoenix Marketcity,19.088,72.882,14,1,228,400
India Gate Parking,28.612,77.229,9,0,57,100
Connaught Place,28.631,77.219,6,6,117,200
Guwahati Railway Station,26.181,91.75,23,3,194,300
M Chinnaswamy Stadium,12.978,77.599,20,3,377,600
M Chinnaswamy Stadium,12.978,77.599,13,2,296,600
M Chinnaswamy Stadium,12.978,77.599,5,1,468,600
Indira Gandhi Athletic Stadium,26.111,91.761,10,4,263,500
Phoenix Marketcity,19.088,72.882,16,1,188,400
Gateway of India Parking,18.922,72.834,7,3,63,80
Gateway of India Parking,18.922,72.834,22,0,48,80
Phoenix Marketcity,19.088,72.882,20,0,300,400
UB City Mall,12.971,77.595,14,4,155,200
UB City Mall,12.971,77.595,11,5,12,200
City Centre Mall,26.152,91.776,23,6,15,120
India Gate Parking,28.612,77.229,18,5,66,100
Connaught Place,28.631,77.219,16,1,129,200
India Gate Parking,28.612,77.229,18,3,42,100
Connaught Place,28.631,77.219,1,0,107,200
City Centre Mall,26.152,91.776,4,2,93,120
Connaught Place,28.631,77.219,22,0,80,200
Gateway of India Parking,18.922,72.834,23,0,62,80
Phoenix Marketcity,19.088,72.882,18,6,163,400
UB City Mall,12.971,77.595,6,1,138,200
City Centre Mall,26.152,91.776,16,2,88,120
Select CITYWALK,28.528,77.218,23,0,241,350
UB City Mall,12.971,77.595,6,3,126,200
Indira Gandhi Athletic Stadium,26.111,91.761,2,1,381,500
Gateway of India Parking,18.922,72.834,0,4,59,80
Indira Gandhi Athletic Stadium,26.111,91.761,2,6,392,500
India Gate Parking,28.612,77.229,22,1,58,100
M Chinnaswamy Stadium,12.978,77.599,18,1,268,600
M Chinnaswamy Stadium,12.978,77.599,16,2,458,600
UB City Mall,12.971,77.595,16,5,37,200
UB City Mall,12.971,77.595,18,2,91,200
India Gate Parking,28.612,77.229,2,4,48,100
Indira Gandhi Athletic Stadium,26.111,91.761,2,1,343,500
Connaught Place,28.631,77.219,21,3,132,200
UB City Mall,12.971,77.595,16,1,109,200
UB City Mall,12.971,77.595,17,0,158,200
India Gate Parking,28.612,77.229,17,3,70,100
Connaught Place,28.631,77.219,19,5,159,200
M Chinnaswamy Stadium,12.978,77.599,16,3,424,600
India Gate Parking,28.612,77.229,4,4,45,100
M Chinnaswamy Stadium,12.978,77.599,16,4,446,600
City Centre Mall,26.152,91.776,2,5,16,120
India Gate Parking,28.612,77.229,1,5,45,100
City Centre Mall,26.152,91.776,1,4,85,120
Phoenix Marketcity,19.088,72.882,1,6,187,400
M Chinnaswamy Stadium,12.978,77.599,5,5,472,600
City Centre Mall,26.152,91.776,10,2,74,120
Guwahati Railway Station,26.181,91.75,19,2,215,300
India Gate Parking,28.612,77.229,3,1,48,100
Phoenix Marketcity,19.088,72.882,5,1,293,400
India Gate Parking,28.612,77.229,13,1,55,100
City Centre Mall,26.152,91.776,23,4,60,120
M Chinnaswamy Stadium,12.978,77.599,11,4,360,600
UB City Mall,12.971,77.595,4,4,126,200
UB City Mall,12.971,77.595,16,5,17,200
City Centre Mall,26.152,91.776,4,4,67,120
UB City Mall,12.971,77.595,17,2,152,200
Chhatrapati Shivaji Terminus,18.94,72.835,0,1,111,150
Phoenix Marketcity,19.088,72.882,4,1,265,400
India Gate Parking,28.612,77.229,7,4,71,100
Select CITYWALK,28.528,77.218,0,3,212,350
Connaught Place,28.631,77.219,16,2,113,200
Indira Gandhi Athletic Stadium,26.111,91.761,8,2,271,500
Guwahati Railway Station,26.181,91.75,21,0,179,300
Select CITYWALK,28.528,77.218,8,1,206,350
Connaught Place,28.631,77.219,12,6,137,200
Guwahati Railway Station,26.181,91.75,18,0,229,300
Select CITYWALK,28.528,77.218,16,1,242,350
Indira Gandhi Athletic Stadium,26.111,91.761,20,4,311,500
Chhatrapati Shivaji Terminus,18.94,72.835,6,2,110,150
Phoenix Marketcity,19.088,72.882,3,2,214,400
City Centre Mall,26.152,91.776,7,1,78,120
City Centre Mall,26.152,91.776,9,4,90,120
Connaught Place,28.631,77.219,14,2,127,200
Chhatrapati Shivaji Terminus,18.94,72.835,18,1,71,150
Indira Gandhi Athletic Stadium,26.111,91.761,10,4,353,500
Phoenix Marketcity,19.088,72.882,0,6,222,400
Select CITYWALK,28.528,77.218,8,4,140,350
UB City Mall,12.971,77.595,18,3,155,200
Indira Gandhi Athletic Stadium,26.111,91.761,6,5,350,500
Select CITYWALK,28.528,77.218,6,1,157,350
UB City Mall,12.971,77.595,3,5,10,200
Phoenix Marketcity,19.088,72.882,6,1,163,400
Connaught Place,28.631,77.219,22,3,119,200
India Gate Parking,28.612,77.229,4,1,77,100
Gateway of India Parking,18.922,72.834,2,5,48,80
India Gate Parking,28.612,77.229,8,5,53,100
Guwahati Railway Station,26.181,91.75,16,2,220,300
Phoenix Marketcity,19.088,72.882,11,4,249,400
Select CITYWALK,28.528,77.218,23,2,251,350
Phoenix Marketcity,19.088,72.882,21,6,219,400
City Centre Mall,26.152,91.776,11,6,7,120
Chhatrapati Shivaji Terminus,18.94,72.835,7,0,81,150
Phoenix Marketcity,19.088,72.882,0,5,317,400
M Chinnaswamy Stadium,12.978,77.599,0,4,438,600
City Centre Mall,26.152,91.776,5,4,74,120
Phoenix Marketcity,19.088,72.882,5,2,299,400
M Chinnaswamy Stadium,12.978,77.599,12,2,359,600
M Chinnaswamy Stadium,12.978,77.599,4,6,477,600
Gateway of India Parking,18.922,72.834,12,2,44,80
Chhatrapati Shivaji Terminus,18.94,72.835,10,3,92,150
UB City Mall,12.971,77.595,8,2,155,200
Select CITYWALK,28.528,77.218,19,3,266,350
Guwahati Railway Station,26.181,91.75,11,0,185,300
Select CITYWALK,28.528,77.218,5,5,206,350
India Gate Parking,28.612,77.229,8,2,61,100
Connaught Place,28.631,77.219,20,0,149,200
Select CITYWALK,28.528,77.218,7,1,184,350
Phoenix Marketcity,19.088,72.882,7,6,182,400
Gateway of India Parking,18.922,72.834,13,5,41,80
City Centre Mall,26.152,91.776,4,1,65,120
UB City Mall,12.971,77.595,23,2,93,200
Select CITYWALK,28.528,77.218,4,5,159,350
City Centre Mall,26.152,91.776,14,1,86,120
UB City Mall,12.971,77.595,10,1,151,200
M Chinnaswamy Stadium,12.978,77.599,11,1,277,600
Guwahati Railway Station,26.181,91.75,19,5,152,300
Phoenix Marketcity,19.088,72.882,3,4,254,400
India Gate Parking,28.612,77.229,11,3,75,100
UB City Mall,12.971,77.595,23,3,119,200
M Chinnaswamy Stadium,12.978,77.599,20,1,241,600
Gateway of India Parking,18.922,72.834,18,1,47,80
Indira Gandhi Athletic Stadium,26.111,91.761,12,4,279,500
Connaught Place,28.631,77.219,2,5,99,200
Chhatrapati Shivaji Terminus,18.94,72.835,0,5,96,150
India Gate Parking,28.612,77.229,13,5,55,100
Indira Gandhi Athletic Stadium,26.111,91.761,17,6,229,500
M Chinnaswamy Stadium,12.978,77.599,11,2,411,600
Select CITYWALK,28.528,77.218,10,4,169,350
Indira Gandhi Athletic Stadium,26.111,91.761,23,3,393,500
M Chinnaswamy Stadium,12.978,77.599,15,0,301,600
UB City Mall,12.971,77.595,12,2,104,200
Guwahati Railway Station,26.181,91.75,10,2,155,300
Phoenix Marketcity,19.088,72.882,12,6,185,400
Select CITYWALK,28.528,77.218,11,1,168,350
Gateway of India Parking,18.922,72.834,4,3,40,80
Select CITYWALK,28.528,77.218,22,1,271,350
M Chinnaswamy Stadium,12.978,77.599,15,4,305,600
Indira Gandhi Athletic Stadium,26.111,91.761,17,4,354,500
India Gate Parking,28.612,77.229,12,4,43,100
M Chinnaswamy Stadium,12.978,77.599,10,1,344,600
Guwahati Railway Station,26.181,91.75,13,2,210,300
Phoenix Marketcity,19.088,72.882,10,2,249,400
Guwahati Railway Station,26.181,91.75,6,1,223,300
Gateway of India Parking,18.922,72.834,12,2,33,80
M Chinnaswamy Stadium,12.978,77.599,1,4,322,600
M Chinnaswamy Stadium,12.978,77.599,13,2,442,600
India Gate Parking,28.612,77.229,12,6,65,100
Select CITYWALK,28.528,77.218,22,1,183,350
Chhatrapati Shivaji Terminus,18.94,72.835,2,4,70,150
Phoenix Marketcity,19.088,72.882,22,5,254,400
M Chinnaswamy Stadium,12.978,77.599,11,3,279,600
M Chinnaswamy Stadium,12.978,77.599,5,5,274,600
UB City Mall,12.971,77.595,8,3,86,200
Gateway of India Parking,18.922,72.834,4,4,56,80
Indira Gandhi Athletic Stadium,26.111,91.761,17,6,307,500
Phoenix Marketcity,19.088,72.882,22,6,274,400
UB City Mall,12.971,77.595,4,2,102,200
Chhatrapati Shivaji Terminus,18.94,72.835,14,4,60,150
M Chinnaswamy Stadium,12.978,77.599,21,2,398,600
Select CITYWALK,28.528,77.218,5,5,203,350
India Gate Parking,28.612,77.229,13,5,62,100
Indira Gandhi Athletic Stadium,26.111,91.761,5,2,365,500
Connaught Place,28.631,77.219,8,2,145,200
M Chinnaswamy Stadium,12.978,77.599,16,3,346,600
India Gate Parking,28.612,77.229,21,4,65,100
City Centre Mall,26.152,91.776,19,2,68,120
Phoenix Marketcity,19.088,72.882,14,5,309,400
India Gate Parking,28.612,77.229,7,5,52,100
M Chinnaswamy Stadium,12.978,77.599,12,3,469,600
UB City Mall,12.971,77.595,8,2,151,200
Phoenix Marketcity,19.088,72.882,4,2,164,400
Chhatrapati Shivaji Terminus,18.94,72.835,10,3,94,150
M Chinnaswamy Stadium,12.978,77.599,1,2,297,600
Indira Gandhi Athletic Stadium,26.111,91.761,5,5,230,500
Select CITYWALK,28.528,77.218,10,2,143,350
M Chinnaswamy Stadium,12.978,77.599,4,0,408,600
Connaught Place,28.631,77.219,8,6,96,200
Connaught Place,28.631,77.219,5,2,152,200
M Chinnaswamy Stadium,12.978,77.599,17,0,413,600
City Centre Mall,26.152,91.776,21,2,71,120
Indira Gandhi Athletic Stadium,26.111,91.761,10,6,339,500
Guwahati Railway Station,26.181,91.75,8,4,182,300
M Chinnaswamy Stadium,12.978,77.599,10,6,414,600
Indira Gandhi Athletic Stadium,26.111,91.761,5,1,365,500
Select CITYWALK,28.528,77.218,4,3,254,350
Gateway of India Parking,18.922,72.834,12,4,32,80
India Gate Parking,28.612,77.229,1,6,77,100
Indira Gandhi Athletic Stadium,26.111,91.761,18,2,340,500
City Centre Mall,26.152,91.776,0,2,77,120
Phoenix Marketcity,19.088,72.882,14,6,281,400
Connaught Place,28.631,77.219,3,4,95,200
Select CITYWALK,28.528,77.218,0,4,169,350
Guwahati Railway Station,26.181,91.75,14,1,140,300
City Centre Mall,26.152,91.776,18,6,19,120
M Chinnaswamy Stadium,12.978,77.599,13,3,264,600
Chhatrapati Shivaji Terminus,18.94,72.835,13,4,106,150
Indira Gandhi Athletic Stadium,26.111,91.761,11,3,326,500
UB City Mall,12.971,77.595,3,2,82,200
India Gate Parking,28.612,77.229,1,1,76,100
UB City Mall,12.971,77.595,19,2,157,200
Indira Gandhi Athletic Stadium,26.111,91.761,11,5,380,500
UB City Mall,12.971,77.595,2,1,133,200
M Chinnaswamy Stadium,12.978,77.599,4,1,438,600
Connaught Place,28.631,77.219,12,4,100,200
Connaught Place,28.631,77.219,20,2,103,200
Select CITYWALK,28.528,77.218,16,1,230,350
UB City Mall,12.971,77.595,4,4,126,200
India Gate Parking,28.612,77.229,12,3,42,100
India Gate Parking,28.612,77.229,21,6,55,100
Indira Gandhi Athletic Stadium,26.111,91.761,10,6,264,500
Connaught Place,28.631,77.219,12,2,101,200
Chhatrapati Shivaji Terminus,18.94,72.835,18,4,68,150
Connaught Place,28.631,77.219,6,0,92,200
Select CITYWALK,28.528,77.218,2,2,253,350
Guwahati Railway Station,26.181,91.75,4,1,182,300
India Gate Parking,28.612,77.229,22,0,47,100
M Chinnaswamy Stadium,12.978,77.599,22,3,421,600
UB City Mall,12.971,77.595,9,0,139,200
Connaught Place,28.631,77.219,23,0,155,200
India Gate Parking,28.612,77.229,5,0,73,100
UB City Mall,12.971,77.595,3,0,126,200
UB City Mall,12.971,77.595,16,1,90,200
Connaught Place,28.631,77.219,20,1,134,200
India Gate Parking,28.612,77.229,8,3,46,100
Chhatrapati Shivaji Terminus,18.94,72.835,22,5,85,150
City Centre Mall,26.152,91.776,2,3,82,120
UB City Mall,12.971,77.595,4,5,34,200
Select CITYWALK,28.528,77.218,5,3,141,350
M Chinnaswamy Stadium,12.978,77.599,4,3,360,600
Chhatrapati Shivaji Terminus,18.94,72.835,19,2,77,150
Select CITYWALK,28.528,77.218,16,2,253,350
M Chinnaswamy Stadium,12.978,77.599,16,4,285,600
Indira Gandhi Athletic Stadium,26.111,91.761,18,1,309,500
Guwahati Railway Station,26.181,91.75,19,3,148,300
Connaught Place,28.631,77.219,6,1,142,200
City Centre Mall,26.152,91.776,22,2,79,120
Gateway of India Parking,18.922,72.834,23,6,54,80
M Chinnaswamy Stadium,12.978,77.599,0,1,278,600
M Chinnaswamy Stadium,12.978,77.599,5,5,285,600
M Chinnaswamy Stadium,12.978,77.599,23,2,244,600
M Chinnaswamy Stadium,12.978,77.599,20,1,332,600
Indira Gandhi Athletic Stadium,26.111,91.761,12,3,394,500
Chhatrapati Shivaji Terminus,18.94,72.835,11,6,88,150
Connaught Place,28.631,77.219,16,2,93,200
Chhatrapati Shivaji Terminus,18.94,72.835,16,1,108,150
Select CITYWALK,28.528,77.218,5,4,189,350
City Centre Mall,26.152,91.776,5,0,85,120
Select CITYWALK,28.528,77.218,21,0,170,350
Guwahati Railway Station,26.181,91.75,10,1,186,300
Select CITYWALK,28.528,77.218,19,5,215,350
Connaught Place,28.631,77.219,16,0,89,200
Gateway of India Parking,18.922,72.834,23,2,59,80
India Gate Parking,28.612,77.229,1,4,57,100
City Centre Mall,26.152,91.776,4,6,17,120
Indira Gandhi Athletic Stadium,26.111,91.761,17,4,335,500
Phoenix Marketcity,19.088,72.882,12,1,183,400
City Centre Mall,26.152,91.776,18,1,59,120
M Chinnaswamy Stadium,12.978,77.599,0,2,371,600
Phoenix Marketcity,19.088,72.882,19,0,236,400
Phoenix Marketcity,19.088,72.882,5,2,181,400
City Centre Mall,26.152,91.776,11,3,65,120
UB City Mall,12.971,77.595,23,0,86,200
UB City Mall,12.971,77.595,4,2,121,200
Gateway of India Parking,18.922,72.834,0,1,51,80
India Gate Parking,28.612,77.229,21,0,71,100
Gateway of India Parking,18.922,72.834,1,2,42,80
City Centre Mall,26.152,91.776,21,0,61,120
UB City Mall,12.971,77.595,7,2,96,200
M Chinnaswamy Stadium,12.978,77.599,9,6,252,600
Guwahati Railway Station,26.181,91.75,17,4,174,300
Phoenix Marketcity,19.088,72.882,2,5,178,400
Guwahati Railway Station,26.181,91.75,11,4,208,300
Select CITYWALK,28.528,77.218,20,4,213,350
City Centre Mall,26.152,91.776,20,4,84,120
Select CITYWALK,28.528,77.218,0,0,153,350
Gateway of India Parking,18.922,72.834,22,4,36,80
M Chinnaswamy Stadium,12.978,77.599,4,5,258,600
Gateway of India Parking,18.922,72.834,1,2,34,80
Guwahati Railway Station,26.181,91.75,15,4,222,300
Select CITYWALK,28.528,77.218,23,0,271,350
UB City Mall,12.971,77.595,4,1,151,200
Gateway of India Parking,18.922,72.834,1,0,48,80
Select CITYWALK,28.528,77.218,3,4,273,350
Phoenix Marketcity,19.088,72.882,6,6,299,400
Connaught Place,28.631,77.219,8,3,157,200
Indira Gandhi Athletic Stadium,26.111,91.761,2,1,286,500
India Gate Parking,28.612,77.229,20,0,64,100
Indira Gandhi Athletic Stadium,26.111,91.761,9,2,214,500
Chhatrapati Shivaji Terminus,18.94,72.835,20,1,103,150
M Chinnaswamy Stadium,12.978,77.599,3,1,308,600
Gateway of India Parking,18.922,72.834,16,6,43,80
Connaught Place,28.631,77.219,12,6,150,200
India Gate Parking,28.612,77.229,12,0,67,100
Connaught Place,28.631,77.219,16,2,145,200
